IteracionesFijas,IteracionesReales,Tipo
40, 127, Iteraciones Reales
40, 58, Iteraciones Reales
40, 44, Iteraciones Reales
40, 64, Iteraciones Reales
40, 83, Iteraciones Reales
40, 64, Iteraciones Reales
40, 60, Iteraciones Reales
40, 68, Iteraciones Reales
40, 78, Iteraciones Reales
40, 61, Iteraciones Reales
40, 105, Iteraciones Reales
40, 71, Iteraciones Reales
40, 88, Iteraciones Reales
40, 41, Iteraciones Reales
40, 55, Iteraciones Reales
40, 71, Iteraciones Reales
40, 68, Iteraciones Reales
40, 44, Iteraciones Reales
40, 88, Iteraciones Reales
40, 80, Iteraciones Reales
40, 70, Iteraciones Reales
40, 50, Iteraciones Reales
40, 79, Iteraciones Reales
40, 83, Iteraciones Reales
40, 47, Iteraciones Reales
40, 69, Iteraciones Reales
40, 51, Iteraciones Reales
40, 129, Iteraciones Reales
40, 91, Iteraciones Reales
50, 64, Iteraciones Reales
50, 59, Iteraciones Reales
50, 53, Iteraciones Reales
50, 116, Iteraciones Reales
50, 76, Iteraciones Reales
50, 59, Iteraciones Reales
50, 87, Iteraciones Reales
50, 76, Iteraciones Reales
50, 53, Iteraciones Reales
50, 96, Iteraciones Reales
50, 61, Iteraciones Reales
50, 65, Iteraciones Reales
50, 77, Iteraciones Reales
50, 140, Iteraciones Reales
50, 71, Iteraciones Reales
50, 57, Iteraciones Reales
50, 74, Iteraciones Reales
50, 102, Iteraciones Reales
50, 96, Iteraciones Reales
50, 100, Iteraciones Reales
50, 62, Iteraciones Reales
50, 75, Iteraciones Reales
50, 72, Iteraciones Reales
50, 100, Iteraciones Reales
50, 95, Iteraciones Reales
50, 60, Iteraciones Reales
50, 86, Iteraciones Reales
50, 83, Iteraciones Reales
50, 89, Iteraciones Reales
50, 73, Iteraciones Reales
60, 64, Iteraciones Reales
60, 60, Iteraciones Reales
60, 109, Iteraciones Reales
60, 68, Iteraciones Reales
60, 85, Iteraciones Reales
60, 60, Iteraciones Reales
60, 106, Iteraciones Reales
60, 116, Iteraciones Reales
60, 150, Iteraciones Reales
60, 62, Iteraciones Reales
60, 60, Iteraciones Reales
60, 71, Iteraciones Reales
60, 83, Iteraciones Reales
60, 110, Iteraciones Reales
60, 84, Iteraciones Reales
60, 71, Iteraciones Reales
60, 135, Iteraciones Reales
60, 97, Iteraciones Reales
60, 108, Iteraciones Reales
60, 66, Iteraciones Reales
60, 100, Iteraciones Reales
60, 98, Iteraciones Reales
60, 126, Iteraciones Reales
60, 141, Iteraciones Reales
60, 76, Iteraciones Reales
60, 122, Iteraciones Reales
60, 103, Iteraciones Reales
60, 78, Iteraciones Reales
60, 133, Iteraciones Reales
60, 68, Iteraciones Reales
70, 75, Iteraciones Reales
70, 72, Iteraciones Reales
70, 123, Iteraciones Reales
70, 132, Iteraciones Reales
70, 115, Iteraciones Reales
70, 121, Iteraciones Reales
70, 129, Iteraciones Reales
70, 90, Iteraciones Reales
70, 98, Iteraciones Reales
70, 122, Iteraciones Reales
70, 78, Iteraciones Reales
70, 114, Iteraciones Reales
70, 82, Iteraciones Reales
70, 105, Iteraciones Reales
70, 99, Iteraciones Reales
70, 158, Iteraciones Reales
70, 139, Iteraciones Reales
70, 71, Iteraciones Reales
70, 109, Iteraciones Reales
70, 170, Iteraciones Reales
70, 97, Iteraciones Reales
70, 155, Iteraciones Reales
70, 82, Iteraciones Reales
70, 83, Iteraciones Reales
70, 77, Iteraciones Reales
70, 91, Iteraciones Reales
70, 112, Iteraciones Reales
70, 154, Iteraciones Reales
70, 106, Iteraciones Reales
70, 132, Iteraciones Reales
80, 178, Iteraciones Reales
80, 237, Iteraciones Reales
80, 150, Iteraciones Reales
80, 111, Iteraciones Reales
80, 145, Iteraciones Reales
80, 86, Iteraciones Reales
80, 159, Iteraciones Reales
80, 92, Iteraciones Reales
80, 124, Iteraciones Reales
80, 84, Iteraciones Reales
80, 178, Iteraciones Reales
80, 148, Iteraciones Reales
80, 104, Iteraciones Reales
80, 182, Iteraciones Reales
80, 91, Iteraciones Reales
80, 144, Iteraciones Reales
80, 123, Iteraciones Reales
80, 82, Iteraciones Reales
80, 146, Iteraciones Reales
80, 91, Iteraciones Reales
80, 84, Iteraciones Reales
80, 88, Iteraciones Reales
80, 90, Iteraciones Reales
80, 86, Iteraciones Reales
80, 103, Iteraciones Reales
80, 117, Iteraciones Reales
80, 88, Iteraciones Reales
80, 88, Iteraciones Reales
80, 117, Iteraciones Reales
80, 177, Iteraciones Reales
90, 126, Iteraciones Reales
90, 113, Iteraciones Reales
90, 133, Iteraciones Reales
90, 147, Iteraciones Reales
90, 123, Iteraciones Reales
90, 108, Iteraciones Reales
90, 121, Iteraciones Reales
90, 119, Iteraciones Reales
90, 173, Iteraciones Reales
90, 150, Iteraciones Reales
90, 101, Iteraciones Reales
90, 135, Iteraciones Reales
90, 109, Iteraciones Reales
90, 116, Iteraciones Reales
90, 97, Iteraciones Reales
90, 95, Iteraciones Reales
90, 130, Iteraciones Reales
90, 185, Iteraciones Reales
90, 114, Iteraciones Reales
90, 189, Iteraciones Reales
90, 184, Iteraciones Reales
90, 135, Iteraciones Reales
90, 237, Iteraciones Reales
90, 96, Iteraciones Reales
90, 94, Iteraciones Reales
90, 158, Iteraciones Reales
90, 91, Iteraciones Reales
90, 164, Iteraciones Reales
90, 119, Iteraciones Reales
90, 110, Iteraciones Reales
100, 137, Iteraciones Reales
100, 130, Iteraciones Reales
100, 202, Iteraciones Reales
100, 100, Iteraciones Reales
100, 161, Iteraciones Reales
100, 138, Iteraciones Reales
100, 111, Iteraciones Reales
100, 100, Iteraciones Reales
100, 256, Iteraciones Reales
100, 125, Iteraciones Reales
100, 188, Iteraciones Reales
100, 393, Iteraciones Reales
100, 176, Iteraciones Reales
100, 203, Iteraciones Reales
100, 101, Iteraciones Reales
100, 370, Iteraciones Reales
100, 103, Iteraciones Reales
100, 124, Iteraciones Reales
100, 107, Iteraciones Reales
100, 153, Iteraciones Reales
100, 196, Iteraciones Reales
100, 133, Iteraciones Reales
100, 148, Iteraciones Reales
100, 119, Iteraciones Reales
100, 200, Iteraciones Reales
100, 177, Iteraciones Reales
100, 119, Iteraciones Reales
100, 106, Iteraciones Reales
100, 124, Iteraciones Reales
100, 228, Iteraciones Reales
110, 425, Iteraciones Reales
110, 150, Iteraciones Reales
110, 212, Iteraciones Reales
110, 234, Iteraciones Reales
110, 121, Iteraciones Reales
110, 260, Iteraciones Reales
110, 199, Iteraciones Reales
110, 117, Iteraciones Reales
110, 118, Iteraciones Reales
110, 152, Iteraciones Reales
110, 112, Iteraciones Reales
110, 196, Iteraciones Reales
110, 191, Iteraciones Reales
110, 222, Iteraciones Reales
110, 110, Iteraciones Reales
110, 175, Iteraciones Reales
110, 118, Iteraciones Reales
110, 148, Iteraciones Reales
110, 212, Iteraciones Reales
110, 159, Iteraciones Reales
110, 119, Iteraciones Reales
110, 121, Iteraciones Reales
110, 190, Iteraciones Reales
110, 177, Iteraciones Reales
110, 130, Iteraciones Reales
110, 157, Iteraciones Reales
110, 111, Iteraciones Reales
110, 119, Iteraciones Reales
110, 166, Iteraciones Reales
110, 143, Iteraciones Reales
120, 151, Iteraciones Reales
120, 124, Iteraciones Reales
120, 225, Iteraciones Reales
120, 215, Iteraciones Reales
120, 246, Iteraciones Reales
120, 180, Iteraciones Reales
120, 140, Iteraciones Reales
120, 176, Iteraciones Reales
120, 155, Iteraciones Reales
120, 124, Iteraciones Reales
120, 121, Iteraciones Reales
120, 220, Iteraciones Reales
120, 158, Iteraciones Reales
120, 175, Iteraciones Reales
120, 163, Iteraciones Reales
120, 162, Iteraciones Reales
120, 152, Iteraciones Reales
120, 143, Iteraciones Reales
120, 192, Iteraciones Reales
120, 151, Iteraciones Reales
120, 151, Iteraciones Reales
120, 209, Iteraciones Reales
120, 125, Iteraciones Reales
120, 188, Iteraciones Reales
120, 287, Iteraciones Reales
120, 135, Iteraciones Reales
120, 126, Iteraciones Reales
120, 183, Iteraciones Reales
120, 167, Iteraciones Reales
120, 235, Iteraciones Reales
130, 148, Iteraciones Reales
130, 161, Iteraciones Reales
130, 204, Iteraciones Reales
130, 135, Iteraciones Reales
130, 249, Iteraciones Reales
130, 398, Iteraciones Reales
130, 173, Iteraciones Reales
130, 161, Iteraciones Reales
130, 173, Iteraciones Reales
130, 219, Iteraciones Reales
130, 163, Iteraciones Reales
130, 180, Iteraciones Reales
130, 305, Iteraciones Reales
130, 181, Iteraciones Reales
130, 139, Iteraciones Reales
130, 237, Iteraciones Reales
130, 130, Iteraciones Reales
130, 164, Iteraciones Reales
130, 160, Iteraciones Reales
130, 224, Iteraciones Reales
130, 167, Iteraciones Reales
130, 197, Iteraciones Reales
130, 241, Iteraciones Reales
130, 184, Iteraciones Reales
130, 196, Iteraciones Reales
130, 205, Iteraciones Reales
130, 132, Iteraciones Reales
130, 294, Iteraciones Reales
130, 135, Iteraciones Reales
130, 147, Iteraciones Reales
140, 157, Iteraciones Reales
140, 366, Iteraciones Reales
140, 372, Iteraciones Reales
140, 189, Iteraciones Reales
140, 245, Iteraciones Reales
140, 183, Iteraciones Reales
140, 159, Iteraciones Reales
140, 174, Iteraciones Reales
140, 297, Iteraciones Reales
140, 324, Iteraciones Reales
140, 202, Iteraciones Reales
140, 214, Iteraciones Reales
140, 254, Iteraciones Reales
140, 232, Iteraciones Reales
140, 163, Iteraciones Reales
140, 232, Iteraciones Reales
140, 233, Iteraciones Reales
140, 226, Iteraciones Reales
140, 153, Iteraciones Reales
140, 258, Iteraciones Reales
140, 144, Iteraciones Reales
140, 142, Iteraciones Reales
140, 164, Iteraciones Reales
140, 178, Iteraciones Reales
140, 222, Iteraciones Reales
140, 149, Iteraciones Reales
140, 144, Iteraciones Reales
140, 143, Iteraciones Reales
140, 159, Iteraciones Reales
140, 158, Iteraciones Reales
150, 234, Iteraciones Reales
150, 165, Iteraciones Reales
150, 162, Iteraciones Reales
150, 205, Iteraciones Reales
150, 190, Iteraciones Reales
150, 178, Iteraciones Reales
150, 247, Iteraciones Reales
150, 217, Iteraciones Reales
150, 169, Iteraciones Reales
150, 197, Iteraciones Reales
150, 326, Iteraciones Reales
150, 268, Iteraciones Reales
150, 204, Iteraciones Reales
150, 309, Iteraciones Reales
150, 247, Iteraciones Reales
150, 175, Iteraciones Reales
150, 290, Iteraciones Reales
150, 217, Iteraciones Reales
150, 174, Iteraciones Reales
150, 225, Iteraciones Reales
150, 344, Iteraciones Reales
150, 282, Iteraciones Reales
150, 260, Iteraciones Reales
150, 270, Iteraciones Reales
150, 156, Iteraciones Reales
150, 159, Iteraciones Reales
150, 330, Iteraciones Reales
150, 241, Iteraciones Reales
150, 342, Iteraciones Reales
150, 185, Iteraciones Reales
160, 304, Iteraciones Reales
160, 193, Iteraciones Reales
160, 515, Iteraciones Reales
160, 288, Iteraciones Reales
160, 324, Iteraciones Reales
160, 500, Iteraciones Reales
160, 175, Iteraciones Reales
160, 196, Iteraciones Reales
160, 177, Iteraciones Reales
160, 355, Iteraciones Reales
160, 183, Iteraciones Reales
160, 166, Iteraciones Reales
160, 190, Iteraciones Reales
160, 654, Iteraciones Reales
160, 163, Iteraciones Reales
160, 293, Iteraciones Reales
160, 273, Iteraciones Reales
160, 175, Iteraciones Reales
160, 198, Iteraciones Reales
160, 328, Iteraciones Reales
160, 161, Iteraciones Reales
160, 231, Iteraciones Reales
160, 226, Iteraciones Reales
160, 163, Iteraciones Reales
160, 181, Iteraciones Reales
160, 205, Iteraciones Reales
160, 181, Iteraciones Reales
160, 402, Iteraciones Reales
160, 224, Iteraciones Reales
160, 355, Iteraciones Reales
170, 233, Iteraciones Reales
170, 227, Iteraciones Reales
170, 238, Iteraciones Reales
170, 223, Iteraciones Reales
170, 320, Iteraciones Reales
170, 256, Iteraciones Reales
170, 213, Iteraciones Reales
170, 175, Iteraciones Reales
170, 301, Iteraciones Reales
170, 193, Iteraciones Reales
170, 268, Iteraciones Reales
170, 187, Iteraciones Reales
170, 252, Iteraciones Reales
170, 246, Iteraciones Reales
170, 179, Iteraciones Reales
170, 202, Iteraciones Reales
170, 242, Iteraciones Reales
170, 207, Iteraciones Reales
170, 183, Iteraciones Reales
170, 238, Iteraciones Reales
170, 280, Iteraciones Reales
170, 295, Iteraciones Reales
170, 174, Iteraciones Reales
170, 215, Iteraciones Reales
170, 172, Iteraciones Reales
170, 307, Iteraciones Reales
170, 177, Iteraciones Reales
170, 202, Iteraciones Reales
170, 194, Iteraciones Reales
170, 182, Iteraciones Reales
180, 253, Iteraciones Reales
180, 187, Iteraciones Reales
180, 341, Iteraciones Reales
180, 195, Iteraciones Reales
180, 283, Iteraciones Reales
180, 240, Iteraciones Reales
180, 238, Iteraciones Reales
180, 196, Iteraciones Reales
180, 199, Iteraciones Reales
180, 502, Iteraciones Reales
180, 274, Iteraciones Reales
180, 222, Iteraciones Reales
180, 346, Iteraciones Reales
180, 273, Iteraciones Reales
180, 299, Iteraciones Reales
180, 269, Iteraciones Reales
180, 308, Iteraciones Reales
180, 341, Iteraciones Reales
180, 216, Iteraciones Reales
180, 371, Iteraciones Reales
180, 253, Iteraciones Reales
180, 303, Iteraciones Reales
180, 323, Iteraciones Reales
180, 250, Iteraciones Reales
180, 233, Iteraciones Reales
180, 197, Iteraciones Reales
180, 182, Iteraciones Reales
180, 347, Iteraciones Reales
180, 234, Iteraciones Reales
180, 382, Iteraciones Reales
190, 350, Iteraciones Reales
190, 232, Iteraciones Reales
190, 218, Iteraciones Reales
190, 272, Iteraciones Reales
190, 314, Iteraciones Reales
190, 257, Iteraciones Reales
190, 304, Iteraciones Reales
190, 200, Iteraciones Reales
190, 305, Iteraciones Reales
190, 225, Iteraciones Reales
190, 366, Iteraciones Reales
190, 302, Iteraciones Reales
190, 291, Iteraciones Reales
190, 215, Iteraciones Reales
190, 215, Iteraciones Reales
190, 200, Iteraciones Reales
190, 456, Iteraciones Reales
190, 262, Iteraciones Reales
190, 255, Iteraciones Reales
190, 235, Iteraciones Reales
190, 256, Iteraciones Reales
190, 417, Iteraciones Reales
190, 309, Iteraciones Reales
190, 208, Iteraciones Reales
190, 214, Iteraciones Reales
190, 199, Iteraciones Reales
190, 193, Iteraciones Reales
190, 208, Iteraciones Reales
190, 282, Iteraciones Reales
190, 635, Iteraciones Reales
200, 347, Iteraciones Reales
200, 279, Iteraciones Reales
200, 223, Iteraciones Reales
200, 290, Iteraciones Reales
200, 319, Iteraciones Reales
200, 344, Iteraciones Reales
200, 402, Iteraciones Reales
200, 256, Iteraciones Reales
200, 310, Iteraciones Reales
200, 277, Iteraciones Reales
200, 258, Iteraciones Reales
200, 255, Iteraciones Reales
200, 246, Iteraciones Reales
200, 200, Iteraciones Reales
200, 204, Iteraciones Reales
200, 250, Iteraciones Reales
200, 423, Iteraciones Reales
200, 330, Iteraciones Reales
200, 203, Iteraciones Reales
200, 282, Iteraciones Reales
200, 235, Iteraciones Reales
200, 304, Iteraciones Reales
200, 515, Iteraciones Reales
200, 351, Iteraciones Reales
200, 226, Iteraciones Reales
200, 227, Iteraciones Reales
200, 286, Iteraciones Reales
200, 334, Iteraciones Reales
200, 359, Iteraciones Reales
200, 290, Iteraciones Reales
